National Center for Education Statistics (NCES),,,,,,,,,,,
Institute of Education Sciences (IES),,,,,,,,,,,
National Assessment of Educational Progress (NAEP),,,,,,,,,,,
This report was generated using the NAEP Data Explorer. http://nces.ed.gov/nationsreportcard/naepdata/,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Average scale scores for mathematics, grade 8 by parental education level, from 2 questions [PARED], year and jurisdiction: 2015, 2013, 2011, and 2009",,,,,,,,,,,
,,,,,,,,,,,
,,Did not finish high school,,Graduated high school,,Some education after high school,,Graduated college,,Unknown,
Year,Jurisdiction,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error,Average scale score,Standard Error
,California,258,(2.0),261,(1.9),278,(2.1),287,(1.8),254,(1.6)
,Colorado,265,(2.8),272,(2.3),286,(1.9),301,(1.5),268,(2.5)
,Connecticut,263,(2.5),270,(1.9),284,(1.7),300,(0.9),266,(2.7)
,Delaware,276,(2.4),276,(1.3),284,(1.7),292,(0.9),271,(2.3)
,District of Columbia,249,(3.3),247,(2.1),260,(2.2),259,(1.7),247,(2.3)
,DoDEA,‡,†,272,(2.7),286,(1.5),293,(1.2),271,(2.9)
,Florida,266,(2.2),272,(1.5),285,(1.4),287,(1.5),266,(2.1)
,Georgia,261,(2.2),267,(1.8),280,(1.7),288,(1.2),261,(2.3)
,Hawaii,258,(3.4),264,(1.8),278,(1.8),284,(1.1),260,(2.2)
,Idaho,267,(2.9),274,(1.7),290,(1.5),297,(0.8),269,(2.4)
,Illinois,266,(2.1),269,(1.6),280,(1.7),294,(1.3),266,(2.5)
,Indiana,275,(4.2),278,(1.8),286,(1.6),295,(1.2),274,(2.7)
,Iowa,264,(3.0),274,(1.8),285,(1.8),293,(1.2),263,(2.5)
,Kansas,272,(2.5),280,(2.0),290,(1.8),298,(1.1),272,(1.9)
,Kentucky,262,(2.2),271,(1.8),283,(1.3),289,(1.3),260,(2.3)
,Louisiana,265,(2.3),265,(1.7),277,(1.9),281,(2.6),260,(2.3)
,Maine,268,(3.1),276,(1.7),284,(1.5),295,(1.0),267,(2.3)
,Maryland,271,(2.8),272,(1.9),286,(1.9),299,(1.5),266,(2.2)
,Massachusetts,275,(3.6),285,(2.1),290,(2.1),310,(1.1),275,(2.6)
,Michigan,253,(3.6),263,(2.2),277,(2.4),290,(1.7),257,(2.9)
,Minnesota,265,(3.4),276,(2.2),294,(1.9),304,(1.2),272,(2.0)
,Mississippi,252,(2.5),256,(1.7),273,(1.6),271,(1.4),249,(2.8)
,Missouri,269,(2.9),275,(1.7),287,(1.5),294,(1.2),269,(2.3)
,Montana,268,(4.3),280,(1.9),294,(1.6),300,(1.0),271,(2.7)
,Nebraska,265,(2.6),272,(2.0),283,(1.8),294,(1.2),263,(2.5)
,Nevada,260,(1.7),266,(1.6),280,(1.6),287,(1.3),261,(2.2)
,New Hampshire,275,(3.5),280,(1.6),289,(1.5),301,(1.0),272,(2.4)
,New Jersey,270,(3.3),277,(2.3),292,(1.8),302,(1.6),274,(3.3)
,New Mexico,260,(1.9),261,(2.0),273,(2.0),284,(1.4),253,(1.8)
,New York,268,(2.8),272,(1.7),280,(1.8),294,(1.4),270,(1.7)
,North Carolina,267,(2.3),272,(1.7),284,(1.7),296,(1.4),268,(2.0)
,North Dakota,275,(5.2),281,(1.9),292,(1.9),298,(0.8),277,(2.5)
,Ohio,270,(2.5),276,(1.5),285,(1.7),295,(1.1),266,(2.7)
